			cm	t		distancia
61	64.6551	61	64.6551	0.016393443	2.924661949	0.646551
61	64.757187	61	64.757187	0.016393443	2.941055391	0.64757187
61	65.097477	61	65.097477	0.016393443	2.957448834	0.65097477
61	64.740173	61	64.740173	0.016393443	2.973842277	0.64740173
61	65.52284	61	65.52284	0.016393443	2.990235719	0.6552284
61	64.31481	61	64.31481	0.016393443	3.006629162	0.6431481
61	64.757187	61	64.757187	0.016393443	3.023022604	0.64757187
61	64.6551	61	64.6551	0.016393443	3.039416047	0.646551
61	64.229738	61	64.229738	0.016393443	3.05580949	0.64229738
61	64.331825	61	64.331825	0.016393443	3.072202932	0.64331825
61	64.757187	61	64.757187	0.016393443	3.088596375	0.64757187
61	64.638086	61	64.638086	0.016393443	3.104989818	0.64638086
61	64.229738	61	64.229738	0.016393443	3.12138326	0.64229738
